time,high,low,open,close,V,BV
1508944200.0,0.05399999,0.05397995,0.05397995,0.05397995,315.77993597,17.04616203
1508944500.0,0.05408257,0.0537485,0.05397995,0.05397994,262.80701857,14.18964801
1508944800.0,0.05374852,0.05355496,0.05374852,0.05367739,90.36788367,4.85114985
1508945100.0,0.05370431,0.05349101,0.05367739,0.0536,136.73517581,7.33398893
1508945400.0,0.05369112,0.05359997,0.0536,0.0536,322.46088551,17.28490363
1508945700.0,0.0539,0.05359997,0.0536,0.0539,178.67380586,9.58139343
1508946000.0,0.0539,0.05355,0.05389992,0.05375,252.66988245,13.54953866
1508946300.0,0.05374,0.0535491,0.05373997,0.05355675,87.24595957,4.67883616
1508946600.0,0.053558,0.05349105,0.05355663,0.053499,111.21831988,5.95224222
1508946900.0,0.05373118,0.05345,0.053499,0.05349105,119.66167815,6.40217205
1508947200.0,0.05396994,0.053227,0.05349105,0.05336915,587.60789764,31.526637
1508947500.0,0.0536,0.05336912,0.05351728,0.05355632,33.02962988,1.7689575
1508947800.0,0.05359999,0.05336917,0.05355635,0.05337452,91.3371014,4.88843159
1508948100.0,0.05355585,0.0533637,0.05337452,0.05355583,55.13887075,2.94646083
1508948400.0,0.05359,0.05331424,0.05355585,0.05331424,111.53536107,5.96801622
1508948700.0,0.05355699,0.05331423,0.05331424,0.05353996,159.26476224,8.502966
1508949000.0,0.05331547,0.053,0.05331547,0.05329595,295.28084045,15.71162575
1508949300.0,0.0533,0.05300013,0.05329595,0.05329599,75.66700062,4.03112525
1508949600.0,0.0533,0.05329583,0.0533,0.05329599,71.48916658,3.81008216
1508949900.0,0.0533,0.05329586,0.05329586,0.053296,76.03550571,4.05239064
1508950200.0,0.0532965,0.05329586,0.0532965,0.05329586,269.02015398,14.33767732
1508950500.0,0.0533,0.05312352,0.05329586,0.0533,74.76670731,3.98423394
1508950800.0,0.0533,0.05319581,0.0533,0.05319581,61.56838124,3.27697345
1508951100.0,0.05327213,0.05310018,0.05319581,0.053233,101.22997001,5.37910035
1508951400.0,0.053233,0.05312345,0.05323297,0.05323296,95.70901564,5.08855995
1508951700.0,0.05331426,0.05312376,0.05323293,0.05331426,110.71149955,5.89643846
1508952000.0,0.05359,0.05326102,0.05326113,0.05356558,126.27509387,6.73984403
1508952300.0,0.05364446,0.05340112,0.05340122,0.0536,84.88694109,4.5436052
1508952600.0,0.05359997,0.05340007,0.05359997,0.05349956,183.63034026,9.81754292
1508952900.0,0.05359991,0.05335899,0.05349959,0.05359988,102.88624764,5.50214832
1508953200.0,0.0535999,0.05351623,0.05357274,0.0535999,98.1745026,5.26177362
1508953500.0,0.0535999,0.053599,0.0535999,0.053599,83.06795725,4.45240092
1508953800.0,0.0535998,0.053599,0.0535998,0.053599,44.07285349,2.36226551
1508954100.0,0.0535998,0.05359,0.05359901,0.05359,64.0239563,3.43164139
1508954400.0,0.053599,0.05348,0.05359,0.05348,27.35775955,1.46439411
1508954700.0,0.0535995,0.05330811,0.05348,0.0534645,104.85029087,5.61364307
1508955000.0,0.0535995,0.05330816,0.05346453,0.05347766,53.62670947,2.86669078
1508955300.0,0.0535998,0.05330818,0.05347766,0.05347178,62.42810703,3.33787532
1508955600.0,0.05359871,0.0534,0.05347181,0.0534,70.30608946,3.75933217
1508955900.0,0.05340001,0.05310729,0.0534,0.05324286,61.74703531,3.2887706
1508956200.0,0.05328,0.05318542,0.05324286,0.05324425,31.60304749,1.68237526
1508956500.0,0.05324425,0.05308245,0.05324425,0.05310015,182.23102522,9.69246506
1508956800.0,0.053349,0.05310025,0.0532,0.05320039,244.09180593,12.9918509
1508957100.0,0.05348024,0.0532004,0.053349,0.05330022,51.5315649,2.74749902
1508957400.0,0.05351273,0.05330019,0.0533003,0.05350432,58.04721966,3.09964283
1508957700.0,0.05351273,0.0535,0.05350432,0.0535,73.30104758,3.92211212
1508958000.0,0.05351273,0.0535,0.0535,0.053501,48.56238166,2.59836828
1508958300.0,0.05356004,0.0535,0.05350682,0.0535,38.69897582,2.07096509
1508958600.0,0.05356004,0.05338001,0.0535,0.0535273,363.49190685,19.44292079
1508958900.0,0.05356004,0.05338002,0.05338039,0.0535273,62.28369225,3.33345084
1508959200.0,0.0536,0.0534,0.0535278,0.0534202,500.68162529,26.82419749
1508959500.0,0.0537,0.05342018,0.05353043,0.05353013,81.57157251,4.36134143
1508959800.0,0.05357,0.05342343,0.0535,0.0535,29.91064975,1.60103002
1508960100.0,0.053569,0.05349675,0.0535,0.05356,57.61727733,3.08569677
1508960400.0,0.0537,0.05356,0.05356,0.05365749,39.47417217,2.11759574
1508960700.0,0.05367852,0.05365749,0.05367852,0.05366513,45.18250058,2.4246395
1508961000.0,0.05366516,0.05365801,0.05366492,0.05366511,90.52170316,4.85778421
1508961300.0,0.05366512,0.0530001,0.05366511,0.0531937,658.26500299,35.27965131
1508961600.0,0.05325391,0.053,0.0531937,0.053,250.33001968,13.28696621
1508961900.0,0.05323324,0.05292044,0.053,0.05299814,70.00411811,3.70993908
1508962200.0,0.05299813,0.05269,0.05299813,0.05269969,120.41770331,6.35357122
1508962500.0,0.05296318,0.05263699,0.05269378,0.052637,260.78816488,13.74028341
1508962800.0,0.0527,0.05263699,0.052637,0.05267477,52.59721238,2.77115148
1508963100.0,0.0527,0.052599,0.05269999,0.052599,162.88946298,8.57490758
1508963400.0,0.05262476,0.0524645,0.05260277,0.0524645,445.41458632,23.39412034
1508963700.0,0.0525,0.05230095,0.0524645,0.05233713,513.63501062,26.9042432
1508964000.0,0.05263541,0.0523009,0.05249998,0.0525,150.06585178,7.87112205
1508964300.0,0.05272499,0.05241965,0.05246248,0.05246248,138.55701323,7.27296266
1508964600.0,0.05275352,0.05240249,0.05246248,0.05275352,69.64344939,3.6567459
1508964900.0,0.0527625,0.0523009,0.05275352,0.0523109,139.49330569,7.30679162
1508965200.0,0.05246248,0.05225001,0.0523109,0.05227667,114.70541517,6.00471276
1508965500.0,0.05227667,0.05223917,0.05227667,0.05224831,124.59949788,6.51114222
1508965800.0,0.05227667,0.0522,0.05224831,0.05220001,337.06035981,17.60838348
1508966100.0,0.05224631,0.0521,0.0522,0.0521,244.82514484,12.77294891
1508966400.0,0.05220001,0.0521,0.0521,0.05220001,70.51385869,3.67516986
1508966700.0,0.05220001,0.05207297,0.05219,0.05210004,117.33879029,6.11592876
1508967000.0,0.05212004,0.05207297,0.05212003,0.05210004,85.16192521,4.43781243
1508967300.0,0.05220001,0.05205001,0.05210004,0.05220001,261.45535031,13.62049887
1508967600.0,0.05228037,0.0520304,0.05205003,0.05228036,67.06353477,3.49948548
1508967900.0,0.05244067,0.05209843,0.05213023,0.05209846,101.33420969,5.30060242
1508968200.0,0.05239546,0.052031,0.05239543,0.05237199,114.92731081,6.00398983
1508968500.0,0.05239547,0.05203103,0.05231959,0.05229991,97.55984512,5.10453368
1508968800.0,0.05246165,0.05203104,0.05223746,0.05221501,64.16603356,3.35133729
1508969100.0,0.05242367,0.052,0.05221498,0.05239972,218.19564066,11.35674654
1508969400.0,0.05237496,0.0520401,0.05204013,0.05214581,65.46615449,3.40919063
1508969700.0,0.05235,0.0520401,0.05214585,0.05204016,73.58333972,3.83599067
1508970000.0,0.05227191,0.0520401,0.05204016,0.052245,126.78565953,6.61550287
1508970300.0,0.05239973,0.05204017,0.052245,0.052385,114.12321849,5.96567287
1508970600.0,0.052385,0.05204022,0.05204041,0.0522,63.0264208,3.29676341
1508970900.0,0.05238494,0.0521,0.0522,0.05238493,84.97949996,4.44099143
1508971200.0,0.05239202,0.05211045,0.05238493,0.05239202,125.9651651,6.58423578
1508971500.0,0.05240089,0.0521,0.05222228,0.0524,73.00445079,3.81080154
1508971800.0,0.05247367,0.05212387,0.05240089,0.05212387,108.22161534,5.6709084
1508972100.0,0.05245618,0.0520402,0.0521239,0.05238006,51.03495945,2.66238204
1508972400.0,0.05242386,0.05204022,0.05238006,0.05211,78.14553772,4.08161319
1508972700.0,0.05236999,0.0520921,0.05211003,0.05211003,23.54112114,1.23079608
1508973000.0,0.05237,0.05211006,0.05235307,0.05236991,41.00813323,2.14475
1508973300.0,0.05255554,0.05214757,0.05236988,0.05214757,432.03338654,22.65899046
1508973600.0,0.05251017,0.05211003,0.05214796,0.05211006,65.66833425,3.42490725
1508973900.0,0.05239988,0.0521,0.05211006,0.05235799,138.59668737,7.2375023
1508974200.0,0.0522,0.05200733,0.0522,0.05202931,26.84991149,1.39787498
1508974500.0,0.05219999,0.052,0.05202931,0.052,464.54947038,24.161007
1508974800.0,0.05212547,0.052,0.052,0.052,329.14357253,17.11563988
1508975100.0,0.0521329,0.05158946,0.052,0.052,269.90579623,14.01512859
1508975400.0,0.05199997,0.0515,0.05199997,0.05163788,411.55675336,21.25551471
1508975700.0,0.05187233,0.051521,0.05163791,0.05179834,104.30467711,5.38631588
1508976000.0,0.051791,0.051521,0.05152112,0.0516,91.11042551,4.69950696
1508976300.0,0.051789,0.0515,0.0516,0.051745,102.42050726,5.28612507
1508976600.0,0.051745,0.0515,0.05174497,0.05150003,143.32303229,7.39499896
1508976900.0,0.05169996,0.0515,0.05169993,0.05151372,183.48605059,9.45419772
1508977200.0,0.0518,0.0515,0.051555,0.05157503,141.90576038,7.32123538
1508977500.0,0.05179997,0.051575,0.05157503,0.05160002,97.53128042,5.03746531
1508977800.0,0.05179991,0.051601,0.05167737,0.05167006,40.16882482,2.07684091
1508978100.0,0.05195348,0.05167006,0.05167009,0.05183014,70.65485147,3.65940387
1508978400.0,0.052,0.0516701,0.05183017,0.0517,88.86577938,4.60171612
1508978700.0,0.0519878,0.0517,0.05181994,0.0518908,66.11868663,3.42731525
